table,cell,seed,method,sample,acc,nce
ER-Reg,sparse@0,0,chfgnn_faq,8,0.976,989.0
ER-Reg,sparse@0,0,chfgnn_faq,9,0.98,996.0
ER-Reg,sparse@0,0,chfgnn_faq,10,0.984,1024.0
ER-Reg,sparse@0,0,chfgnn_faq,11,0.988,963.0
ER-Reg,sparse@0,0,chfgnn_faq,12,0.97,979.0
ER-Reg,sparse@0,0,chfgnn_faq,13,0.992,1003.0
ER-Reg,sparse@0,0,chfgnn_faq,14,0.982,1031.0
ER-Reg,sparse@0,0,chfgnn_faq,15,0.988,1020.0
ER-Reg,sparse@0,0,chfgnn_faq,16,0.98,944.0
ER-Reg,sparse@0,0,chfgnn_faq,17,0.978,954.0
ER-Reg,sparse@0,0,chfgnn_faq,18,0.972,950.0
ER-Reg,sparse@0,0,chfgnn_faq,19,0.972,995.0
ER-Reg,sparse@0,0,chfgnn_faq,20,0.99,1025.0
ER-Reg,sparse@0,0,chfgnn_faq,21,0.982,991.0
ER-Reg,sparse@0,0,chfgnn_faq,22,0.976,997.0
ER-Reg,sparse@0,0,chfgnn_faq,23,0.984,1042.0
ER-Reg,sparse@0,0,chfgnn_faq,24,0.984,1025.0
ER-Reg,sparse@0,0,chfgnn_faq,25,0.984,972.0
ER-Reg,sparse@0,0,chfgnn_faq,26,0.982,1051.0
ER-Reg,sparse@0,0,chfgnn_faq,27,0.982,934.0
ER-Reg,sparse@0,0,chfgnn_faq,28,0.982,1006.0
ER-Reg,sparse@0,0,chfgnn_faq,29,0.984,929.0
ER-Reg,sparse@0.05,0,proj_dcx,0,0.988,985.0
ER-Reg,sparse@0.05,0,proj_dcx,1,0.984,961.0
ER-Reg,sparse@0.05,0,proj_dcx,2,0.982,929.0
ER-Reg,sparse@0.05,0,proj_dcx,3,0.968,959.0
ER-Reg,sparse@0.05,0,proj_dcx,4,0.978,935.0
ER-Reg,sparse@0.05,0,proj_dcx,5,0.986,930.0
ER-Reg,sparse@0.05,0,proj_dcx,6,0.956,921.0
ER-Reg,sparse@0.05,0,proj_dcx,7,0.976,976.0
ER-Reg,sparse@0.05,0,proj_dcx,8,0.978,938.0
ER-Reg,sparse@0.05,0,proj_dcx,9,0.968,946.0
ER-Reg,sparse@0.05,0,proj_dcx,10,0.976,970.0
ER-Reg,sparse@0.05,0,proj_dcx,11,0.984,916.0
ER-Reg,sparse@0.05,0,proj_dcx,12,0.958,937.0
ER-Reg,sparse@0.05,0,proj_dcx,13,0.99,951.0
ER-Reg,sparse@0.05,0,proj_dcx,14,0.96,983.0
ER-Reg,sparse@0.05,0,proj_dcx,15,0.976,961.0
ER-Reg,sparse@0.05,0,proj_dcx,16,0.976,896.0
ER-Reg,sparse@0.05,0,proj_dcx,17,0.984,912.0
ER-Reg,sparse@0.05,0,proj_dcx,18,0.968,896.0
ER-Reg,sparse@0.05,0,proj_dcx,19,0.964,936.0
ER-Reg,sparse@0.05,0,proj_dcx,20,0.98,967.0
ER-Reg,sparse@0.05,0,proj_dcx,21,0.982,941.0
ER-Reg,sparse@0.05,0,proj_dcx,22,0.972,950.0
ER-Reg,sparse@0.05,0,proj_dcx,23,0.982,988.0
ER-Reg,sparse@0.05,0,proj_dcx,24,0.962,969.0
ER-Reg,sparse@0.05,0,proj_dcx,25,0.972,930.0
ER-Reg,sparse@0.05,0,proj_dcx,26,0.982,998.0
ER-Reg,sparse@0.05,0,proj_dcx,27,0.974,893.0
ER-Reg,sparse@0.05,0,proj_dcx,28,0.992,959.0
ER-Reg,sparse@0.05,0,proj_dcx,29,0.97,892.0
ER-Reg,sparse@0.05,0,faq_dcx,0,0.984,985.0
ER-Reg,sparse@0.05,0,faq_dcx,1,0.982,961.0
ER-Reg,sparse@0.05,0,faq_dcx,2,0.98,930.0
ER-Reg,sparse@0.05,0,faq_dcx,3,0.974,960.0
ER-Reg,sparse@0.05,0,faq_dcx,4,0.97,935.0
ER-Reg,sparse@0.05,0,faq_dcx,5,0.978,930.0
ER-Reg,sparse@0.05,0,faq_dcx,6,0.96,922.0
ER-Reg,sparse@0.05,0,faq_dcx,7,0.972,976.0
ER-Reg,sparse@0.05,0,faq_dcx,8,0.98,938.0
ER-Reg,sparse@0.05,0,faq_dcx,9,0.978,948.0
ER-Reg,sparse@0.05,0,faq_dcx,10,0.984,970.0
ER-Reg,sparse@0.05,0,faq_dcx,11,0.982,916.0
ER-Reg,sparse@0.05,0,faq_dcx,12,0.958,939.0
ER-Reg,sparse@0.05,0,faq_dcx,13,0.978,951.0
ER-Reg,sparse@0.05,0,faq_dcx,14,0.966,988.0
ER-Reg,sparse@0.05,0,faq_dcx,15,0.982,962.0
ER-Reg,sparse@0.05,0,faq_dcx,16,0.97,896.0
ER-Reg,sparse@0.05,0,faq_dcx,17,0.98,912.0
ER-Reg,sparse@0.05,0,faq_dcx,18,0.968,896.0
ER-Reg,sparse@0.05,0,faq_dcx,19,0.96,936.0
ER-Reg,sparse@0.05,0,faq_dcx,20,0.984,970.0
ER-Reg,sparse@0.05,0,faq_dcx,21,0.974,941.0
ER-Reg,sparse@0.05,0,faq_dcx,22,0.968,950.0
ER-Reg,sparse@0.05,0,faq_dcx,23,0.98,988.0
ER-Reg,sparse@0.05,0,faq_dcx,24,0.976,970.0
ER-Reg,sparse@0.05,0,faq_dcx,25,0.972,930.0
ER-Reg,sparse@0.05,0,faq_dcx,26,0.982,998.0
ER-Reg,sparse@0.05,0,faq_dcx,27,0.974,893.0
ER-Reg,sparse@0.05,0,faq_dcx,28,0.988,959.0
ER-Reg,sparse@0.05,0,faq_dcx,29,0.966,892.0
ER-Reg,sparse@0.05,0,fgnn_proj,0,0.818,790.0
ER-Reg,sparse@0.05,0,fgnn_proj,1,0.808,747.0
ER-Reg,sparse@0.05,0,fgnn_proj,2,0.716,656.0
ER-Reg,sparse@0.05,0,fgnn_proj,3,0.778,730.0
ER-Reg,sparse@0.05,0,fgnn_proj,4,0.768,709.0
ER-Reg,sparse@0.05,0,fgnn_proj,5,0.71,625.0
ER-Reg,sparse@0.05,0,fgnn_proj,6,0.728,631.0
ER-Reg,sparse@0.05,0,fgnn_proj,7,0.674,606.0
ER-Reg,sparse@0.05,0,fgnn_proj,8,0.73,665.0
ER-Reg,sparse@0.05,0,fgnn_proj,9,0.766,727.0
ER-Reg,sparse@0.05,0,fgnn_proj,10,0.788,739.0
ER-Reg,sparse@0.05,0,fgnn_proj,11,0.774,707.0
ER-Reg,sparse@0.05,0,fgnn_proj,12,0.778,716.0
ER-Reg,sparse@0.05,0,fgnn_proj,13,0.782,724.0
ER-Reg,sparse@0.05,0,fgnn_proj,14,0.764,758.0
ER-Reg,sparse@0.05,0,fgnn_proj,15,0.634,533.0
ER-Reg,sparse@0.05,0,fgnn_proj,16,0.722,624.0
ER-Reg,sparse@0.05,0,fgnn_proj,17,0.792,722.0
ER-Reg,sparse@0.05,0,fgnn_proj,18,0.54,413.0
ER-Reg,sparse@0.05,0,fgnn_proj,19,0.616,521.0
ER-Reg,sparse@0.05,0,fgnn_proj,20,0.732,687.0
ER-Reg,sparse@0.05,0,fgnn_proj,21,0.744,678.0
ER-Reg,sparse@0.05,0,fgnn_proj,22,0.816,788.0
ER-Reg,sparse@0.05,0,fgnn_proj,23,0.818,825.0
ER-Reg,sparse@0.05,0,fgnn_proj,24,0.818,791.0
ER-Reg,sparse@0.05,0,fgnn_proj,25,0.786,727.0
ER-Reg,sparse@0.05,0,fgnn_proj,26,0.744,736.0
ER-Reg,sparse@0.05,0,fgnn_proj,27,0.74,611.0
ER-Reg,sparse@0.05,0,fgnn_proj,28,0.83,784.0
ER-Reg,sparse@0.05,0,fgnn_proj,29,0.696,622.0
ER-Reg,sparse@0.05,0,fgnn_faq,0,0.986,985.0
ER-Reg,sparse@0.05,0,fgnn_faq,1,0.982,961.0
ER-Reg,sparse@0.05,0,fgnn_faq,2,0.984,929.0
ER-Reg,sparse@0.05,0,fgnn_faq,3,0.976,960.0
ER-Reg,sparse@0.05,0,fgnn_faq,4,0.97,935.0
ER-Reg,sparse@0.05,0,fgnn_faq,5,0.974,929.0
ER-Reg,sparse@0.05,0,fgnn_faq,6,0.958,921.0
ER-Reg,sparse@0.05,0,fgnn_faq,7,0.974,974.0
ER-Reg,sparse@0.05,0,fgnn_faq,8,0.97,937.0
ER-Reg,sparse@0.05,0,fgnn_faq,9,0.978,948.0
ER-Reg,sparse@0.05,0,fgnn_faq,10,0.97,968.0
ER-Reg,sparse@0.05,0,fgnn_faq,11,0.98,916.0
